id	album_year	description	setting	light	people	framing	consent	quality_note	shared
a1-119	a1/2024	High angle down the long table; elderly man in a tan shirt eats from a blue plate	camp	day	mixed	wide	GREEN		
a1-122	a1/2024	Three on a bench against a green building: young person in red tee and hat, young man in grey, elderly man with hat	camp	day	mixed	medium	AMBER	young man looks under 12; may be a visitor; shared description with neighbour	shared
a1-123	a1/2024	Three on a bench against a green building: young person in red tee and hat, young man in grey, elderly man with hat	camp	day	mixed	medium	AMBER	young man looks under 12; may be a visitor; shared description with neighbour	shared
a1-124	a1/2024	Same bench: young child holds a hat high, young man 10-12, older man with a straw hat	camp	day	mixed	medium	AMBER	child looks under 12; possibly family day; verify; shared description with neighbour	shared
a1-125	a1/2024	Same bench: young child holds a hat high, young man 10-12, older man with a straw hat	camp	day	mixed	medium	AMBER	child looks under 12; possibly family day; verify; shared description with neighbour	shared
a1-126	a1/2024	Kitchen selfie: man in a blue tank top with a white-haired man in grey; skylights, sink	kitchen	day	adults	close	GREEN	shared description with neighbour	shared
a1-127	a1/2024	Kitchen selfie: man in a blue tank top with a white-haired man in grey; skylights, sink	kitchen	day	adults	close	GREEN	shared description with neighbour	shared
a1-129	a1/2024	Kitchen selfie: same man with a teen (16-18) in a beige windbreaker	kitchen	day	mixed	close	AMBER		
a1-131	a1/2024	Selfie near a doorway with a man in a straw cowboy hat	indoor	day	adults	close	GREEN		
a1-132	a1/2024	Selfie in the dining hall with a white-bearded man in a camo bucket hat and red whistle, smiling	indoor	day	adults	close	GREEN	shared description with neighbour	shared
a1-133	a1/2024	Selfie in the dining hall with a white-bearded man in a camo bucket hat and red whistle, smiling	indoor	day	adults	close	GREEN	shared description with neighbour	shared
a1-134	a1/2024	Selfie under a wooden roof with a bearded man in a brown cap pulling silly faces	camp	day	adults	close	GREEN	three near-identical; shared description with neighbour	shared
a1-135	a1/2024	Selfie under a wooden roof with a bearded man in a brown cap pulling silly faces	camp	day	adults	close	GREEN	three near-identical; shared description with neighbour	shared
a1-136	a1/2024	Selfie under a wooden roof with a bearded man in a brown cap pulling silly faces	camp	day	adults	close	GREEN	three near-identical; shared description with neighbour	shared
a1-140	a1/2024	Selfie indoors, vaulted ceiling, man in cap and grey hoodie, laughing	indoor	day	adults	close	GREEN		
a1-143	a1/2024	Selfie indoors with a young man (late teens) in a plaid shirt and cap holding a white mug	indoor	day	mixed	close	AMBER		
a1-144	a1/2024	Selfie with two bearded men: tan bucket hat and bead necklaces; white fedora and bandana; EXIT sign	indoor	day	adults	close	GREEN		
a1-147	a1/2024	Seven young men in a circle on sunlit grass; one in a yellow 88 jersey faces away	field	day	young-men	medium	AMBER	verify faces	
a1-149	a1/2024	Young men gathered in the clearing; one in a white tee points, red shirt tied at the waist	forest	day	young-men	medium	AMBER		
a1-150	a1/2024	Side profile of young men queued; the lead in teal shirt, sun hat, sunglasses, blue bottle	forest	day	young-men	close	AMBER	profile	
a1-151	a1/2024	Straight up: Douglas fir silhouettes framing a clear blue sky	forest	day	none	wide	GREEN		
a1-154	a1/2024	Young man in the yellow 88 jersey sits on dry grass looking to camera; others blurred	field	day	young-men	medium	AMBER		
a1-155	a1/2024	Low angle across dry yellow-green grass toward distant standing legs, long shadows	field	day	unclear	detail	GREEN		
a1-157	a1/2024	Young men walk away across a sun-drenched field toward the treeline, one with hands behind his head	field	day	young-men	wide	GREEN	backs	
a1-159	a1/2024	Young man with orange-and-white face paint leans into frame smiling; another holds a staff	forest	day	young-men	close	AMBER		
a1-161	a1/2024	Teen in a tan tee laughs heartily; another in white tee and red bandana stands tall	forest	day	young-men	medium	AMBER		
a1-164	a1/2024	Two men in their 20s wrestle playfully on a pebble beach, ocean behind	beach	day	adults	medium	GREEN		
a1-167	a1/2024	Three young men carry a fourth by arms and legs toward the water, all laughing	beach	day	unclear	medium	AMBER	ages unclear (may be adults)	
a1-168	a1/2024	From behind, two young men wade knee-deep into the dark blue ocean	water	day	unclear	medium	GREEN	backs	
a1-170	a1/2024	Two men selfie in front of the white CAMP BYNG sign	camp	day	adults	close	GREEN	shows the site name; do not publish	
a1-173	a1/2024	Man in a grey tank top with three young young men in hats, all smiling; forest	forest	day	mixed	close	AMBER	young men look under 12	
a1-174	a1/2024	Man in grey tank top (whistle) with a teenage girl in a blue cap, sunlit field	field	day	mixed	close	FLAG	girl	
a1-176	a1/2024	Same man and girl, both smiling	field	day	mixed	close	FLAG	girl	
a1-177	a1/2024	Man with a young man (late teens), curly hair, red scarf, sunlit field	field	day	mixed	close	AMBER		
a1-178	a1/2024	Man with two young men (late teens): curly hair; messy dark hair, sweatshirt on shoulders, chain	field	day	mixed	close	AMBER		
a1-179	a1/2024	Same trio, one caught mid-reaction	field	day	mixed	close	AMBER	near-duplicate of a1-178	
a1-180	a1/2024	Vertical: young man with curly hair and red scarf in profile, shaded forest	forest	day	young-men	medium	AMBER	vertical	
a1-181	a1/2024	Vertical: same young man facing camera, neutral, forest	forest	day	young-men	medium	AMBER	vertical	
a1-185	a1/2024	Vertical: young man 10-12 in a trucker hat and camo jacket looks straight into camera	forest	day	young-men	medium	AMBER	vertical; looks under 12	
a1-187	a1/2024	Vertical: young man 10-12, blonde, grey long-sleeve, bead necklace, slight smile	forest	day	young-men	medium	AMBER	vertical; looks under 12	
a1-188	a1/2024	Vertical: shirtless man late 20s, backwards cap, swim trunks, red scarf, log stack behind	camp	day	adults	medium	GREEN	vertical	
a1-191	a1/2024	Vertical: man in his 30s in a black tee gestures while speaking among tall thin trees	forest	day	adults	medium	GREEN	vertical	
a1-193	a1/2024	Wide group photo, ~50 men and young men posing in the forest clearing	forest	day	mixed	wide	AMBER	group photo; faces small but posed	
a1-195	a1/2024	Same group photo, more centred, waving and smiling	forest	day	mixed	wide	AMBER	near-duplicate of a1-193	
a1-198	a1/2024	Same group photo, final frame	forest	day	mixed	wide	AMBER	near-duplicate of a1-193	
a1-199	a1/2024	Group photo of ~60 in the clearing; man in blue shirt far left, woman in pink far right	forest	day	mixed	wide	FLAG	includes a woman; shared description with neighbour	shared
a1-200	a1/2024	Group photo of ~60 in the clearing; man in blue shirt far left, woman in pink far right	forest	day	mixed	wide	FLAG	includes a woman; shared description with neighbour	shared
a1-202	a1/2024	Group photo of ~60 in the clearing; man in blue shirt far left, woman in pink far right	forest	day	mixed	wide	FLAG	includes a woman; shared description with neighbour	shared
a1-204	a1/2024	Same group; a black dog walks into the foreground	forest	day	mixed	wide	FLAG	includes a woman	
a1-205	a1/2024	Closer on the central rows and the dog; people smiling to camera	forest	day	mixed	medium	FLAG	includes a woman	
a1-206	a1/2024	Zoomed out again, dog centre foreground	forest	day	mixed	wide	FLAG	includes a woman	
a1-209	a1/2024	Group photo, dog at the far left; man in blue and woman in pink at the edges	forest	day	mixed	wide	FLAG	includes a woman; shared description with neighbour	shared
a1-210	a1/2024	Group photo, dog at the far left; man in blue and woman in pink at the edges	forest	day	mixed	wide	FLAG	includes a woman; shared description with neighbour	shared
a1-211	a1/2024	Group photo, dog at the far left; man in blue and woman in pink at the edges	forest	day	mixed	wide	FLAG	includes a woman; shared description with neighbour	shared
a1-213	a1/2024	Group photo, dog at the far left; man in blue and woman in pink at the edges	forest	day	mixed	wide	FLAG	includes a woman; shared description with neighbour	shared
a1-214	a1/2024	Final wide of the whole group in the clearing	forest	day	mixed	wide	FLAG	includes a woman; shared description with neighbour	shared
a1-216	a1/2024	Final wide of the whole group in the clearing	forest	day	mixed	wide	FLAG	includes a woman; shared description with neighbour	shared
a1-219	a1/2024	Final wide of the whole group in the clearing	forest	day	mixed	wide	FLAG	includes a woman; shared description with neighbour	shared
a1-222	a1/2024	Final wide of the whole group in the clearing	forest	day	mixed	wide	FLAG	includes a woman; shared description with neighbour	shared
a1-224	a1/2024	Group photo of ~45 males from about 8 to 50s in the clearing; man in navy far left	forest	day	mixed	wide	AMBER	group photo; faces small but posed	
a1-225	a1/2024	Bus aisle looking back: seats full of young men in caps, a man's forearm on a seat, trees passing	bus-road	day	mixed	medium	GREEN	backs of heads; verify; shared description with neighbour	shared
a1-226	a1/2024	Bus aisle looking back: seats full of young men in caps, a man's forearm on a seat, trees passing	bus-road	day	mixed	medium	GREEN	backs of heads; verify; shared description with neighbour	shared
a1-228	a1/2024	Two young men on the bus, green jacket with blue neckerchief and grey tee, suitcase between	bus-road	day	young-men	medium	AMBER		
a1-231	a1/2024	Same two; the blonde one grins at camera, an older teen leans over the seat smiling	bus-road	day	young-men	medium	AMBER		
a1-233	a1/2024	Man late 40s, salt-and-pepper beard, laughing hard against a bus seat	bus-road	day	adults	close	GREEN		
a1-234	a1/2024	Two young men play chess on a deck; one looks up smirking; bay, docks and mountains behind	camp	day	young-men	medium	AMBER	deck over a bay; shared description with neighbour	shared
a1-235	a1/2024	Two young men play chess on a deck; one looks up smirking; bay, docks and mountains behind	camp	day	young-men	medium	AMBER	deck over a bay; shared description with neighbour	shared
a1-236	a1/2024	Two young men play chess on a deck; one looks up smirking; bay, docks and mountains behind	camp	day	young-men	medium	AMBER	deck over a bay; shared description with neighbour	shared
a2-000	a2/2019	Group selfie of five: three youths and two men, grey industrial building and car park	bus-road	day	mixed	medium	AMBER	pre-departure, urban	
a2-001	a2/2019	Three men on a gravel path in camo hats, barn and white van behind, overcast	bus-road	day	adults	medium	GREEN		
a2-002	a2/2019	Yellow school bus small on a winding gravel road through dense green forest, grey sky	bus-road	day	none	wide	GREEN		
a2-003	a2/2019	Young men and men with big colourful backpacks on an embankment beside the bus	bus-road	day	mixed	wide	GREEN	verify faces at distance	
a2-004	a2/2019	Youth in a black hoodie, from behind, in a mossy clearing with a big weathered stump	forest	day	young-men	medium	GREEN	back to camera	
a2-005	a2/2019	Man in orange cap and tan overalls gestures, speaking to teenagers in a clearing	forest	day	mixed	medium	AMBER	verify whether the teens' faces show	
a2-006	a2/2019	Group raises a large green tarp over poles on a pebble beach; lake and misty mountains	beach	day	unclear	wide	GREEN		
a2-007	a2/2019	Selfie: man 40s, grey hair, black shirt with man 30s in a red shirt; forest	forest	day	adults	close	GREEN		
a2-008	a2/2019	Large group stands in a circle in a dirt clearing, dense trees, flat light	camp	day	unclear	wide	GREEN	circle: confirm not a ceremony	
a2-009	a2/2019	Group circle under a dark cloudy sky, fire smoke in the centre, muted	fire	day	unclear	wide	GREEN	circle: confirm not a ceremony	
a2-010	a2/2019	Group doing push-ups on dirt, low angle, muted tones	camp	day	unclear	wide	GREEN		
a2-011	a2/2019	Selfie: man in red shirt, calm lake and foggy mountains behind	beach	day	adults	close	GREEN		
a2-012	a2/2019	Selfie: man in red shirt with an older man in black wide-brimmed hat and denim jacket; lake	beach	day	adults	close	GREEN		
a2-013	a2/2019	Man in camo bucket hat and grey shirt speaks to a seated group; black dog; tents behind	camp	day	mixed	medium	AMBER	verify seated faces	
a2-014	a2/2019	People around fires on a rocky beach at dusk, dark mountain across the water	fire	dusk	unclear	wide	GREEN		
a2-015	a2/2019	Selfie: man in red shirt and man in camo bucket hat under pine branches, mist	forest	day	adults	close	GREEN		
a2-016	a2/2019	Older man in glasses and purple jacket speaks holding a staff; group sits on logs on the beach	beach	day	mixed	medium	AMBER	verify; circle: confirm not a ceremony	
a2-017	a2/2019	Two red kayaks on a grey lake, misty mountains, overcast, centred	water	day	unclear	wide	GREEN		
a2-018	a2/2019	Kayaks farther out on the lake, vast muted landscape	water	day	unclear	wide	GREEN		
a2-019	a2/2019	Older man in a black tee among cut logs and sawdust in the forest	camp	day	adults	wide	GREEN		
a2-020	a2/2019	Youth and adults on a pebble beach look toward the water; kayaks on the ground; foggy mountain	beach	day	mixed	wide	GREEN	facing away toward the water	
a2-021	a2/2019	Two men 30s-40s smile for a photo: brimmed hat and blue jacket; grey tee; forest	forest	day	adults	close	GREEN		
a2-022	a2/2019	Back view of young men beside orange and blue kayaks watching instructors at the water	beach	day	mixed	medium	GREEN	backs	
a2-023	a2/2019	Low angle: group on logs around a campfire, a man lights a pipe, youths in hoodies watch	fire	day	mixed	medium	AMBER		
a2-024	a2/2019	Wide low-angle campfire group on the pebble beach, dark forest, dramatic grey sky	fire	day	mixed	wide	GREEN		
a2-025	a2/2019	Men and young men in a circle on the beach; man in red plaid speaks; mountains	beach	day	mixed	medium	AMBER	verify; circle: confirm not a ceremony	
a2-026	a2/2019	Two men grapple on the rocky beach, others watch, mountains and water behind	beach	day	adults	medium	GREEN		
a2-027	a2/2019	High angle: group on benches in a clearing, man in grey stands gesturing, smoke from a fire pit	fire	day	unclear	wide	GREEN	circle: confirm not a ceremony	
a2-028	a2/2019	Man in camouflage addresses a group on grey rocks by blue-grey water, misty mountains	beach	day	mixed	wide	GREEN		
a2-029	a2/2019	Detail: propane torch lights charcoal and wood in a metal grill, orange flame and smoke	kitchen	day	none	detail	GREEN	hands only	
a2-030	a2/2019	Four teens walk forward on a dirt path; centre-left in a grey Bench hoodie gestures; tents behind	camp	day	young-men	medium	AMBER		
a2-031	a2/2019	Man in a black cap grills zucchini on a flat-top; two men smile behind; covered outdoor kitchen	kitchen	day	adults	close	GREEN		
a2-032	a2/2019	Extreme wide: massive circular bonfire in a clearing, large group on benches around it	fire	night	unclear	wide	GREEN		
a2-033	a2/2019	Night bonfire, sparks rising, ~20 seated in a circle on the ground	fire	night	unclear	wide	GREEN		
a2-034	a2/2019	Young men and men in a mossy clearing; man in a grey jacket addresses them; huge mossy trunks	forest	day	mixed	wide	GREEN	verify faces at distance	
a2-035	a2/2019	Two middle-aged men shake hands; several young men observe in the background	forest	day	mixed	medium	GREEN	young men in background; verify	
a2-036	a2/2019	The same two men side by side facing camera; young people behind	forest	day	mixed	medium	GREEN	young men in background; verify	
a2-037	a2/2019	Over the shoulder of a man in an orange jacket explaining a task to ~15 young men in rain gear	forest	day	mixed	medium	AMBER	young men facing camera, listening	
a2-038	a2/2019	High angle: fork in a muddy trail, people dispersed, one in a yellow raincoat, moss everywhere	forest	day	unclear	wide	GREEN		
a2-039	a2/2019	Two men in their 20s selfie, open-mouthed joy, calm blue sea behind	beach	day	adults	close	GREEN		
a3-000	a3/2016	Group portrait: twelve young men and two older men in two rows, light-blue arm bandanas, smiling	forest	day	mixed	medium	AMBER	group portrait	
a3-001	a3/2016	Older man with long wavy grey hair and goatee, gentle smile, cream hoodie, purple pendant	forest	day	adults	medium	GREEN		
a3-002	a3/2016	Two men in camo build a log raft on a pebble beach with yellow rope	beach	day	adults	medium	GREEN		
a3-003	a3/2016	Large gathering in a forest clearing near boulders, a briefing or transition	forest	day	unclear	wide	GREEN		
a3-004	a3/2016	Two men in their 20s crouch on a path grinning at camera; black cap; purple gaiter	forest	day	adults	medium	GREEN		
a3-005	a3/2016	Grey pebble beach at dusk, bleached driftwood, calm bay reflecting an overcast sky	beach	dusk	none	wide	GREEN		
a3-006	a3/2016	Line of ~8 young men with big packs and sleeping pads on a mossy path, facing left, ready to go	forest	day	young-men	medium	AMBER	profiles; strong walk-in frame if approved	
a3-007	a3/2016	Young man in a khaki hat with a huge pack walks across a pebble beach; lake and misty mountains	beach	day	young-men	medium	AMBER	side view under a hat; may crop to GREEN	
a3-008	a3/2016	Teen 16-18 in a yellow bandana, arms crossed, serious, big pack, lake blurred behind	beach	day	young-men	close	AMBER		
a3-009	a3/2016	Teen in orange plaid walks toward camera under an oversized pack with a sleeping bag	forest	day	young-men	medium	AMBER		
a3-010	a3/2016	Two teens in profile against the lake; one in a brown rain poncho and yellow scarf with pack	beach	day	young-men	close	AMBER		
a3-011	a3/2016	Teen holds a silver hard-shell suitcase in front of a hedge; yellow scarf, black backpack	camp	day	young-men	medium	AMBER		
a3-012	a3/2016	Man in camo hat plays a djembe on the beach; teen in maroon tee and blue bandana leans back watching	beach	day	mixed	medium	AMBER		
a3-013	a3/2016	Young person with long hair, glasses and blue bandana crosses a rocky beach with a large pack	beach	day	young-men	medium	AMBER		
a3-014	a3/2016	Grey lake under heavy overcast, a small white dinghy with two occupants, fogged mountains	water	day	unclear	wide	GREEN	monochrome look	
a3-015	a3/2016	Yellow and red kayaks on the rocky shore, people in life vests preparing gear	beach	day	unclear	wide	GREEN		
a3-016	a3/2016	Teen in red bandana and purple life vest sits in a yellow kayak on shore, looks to camera	beach	day	young-men	medium	AMBER		
a3-017	a3/2016	Fleet of ~7 kayaks tiny on a glassy lake; dark mountains topped with cloud	water	day	unclear	wide	GREEN		
a3-018	a3/2016	Fisheye panorama of the beach: driftwood piles, beached kayaks, a line of people right, blue sky	beach	day	unclear	wide	GREEN	fisheye distortion	
a3-019	a3/2016	Young man in a red life vest leaps mid-air from a red kayak onto the shore with a paddle	beach	day	young-men	medium	AMBER	action; verify face	
a3-020	a3/2016	Two young men paddle a red tandem kayak; a raft with people and other kayakers behind	water	day	young-men	medium	GREEN	verify faces are not toward camera	
a3-021	a3/2016	Man early 30s in a white inflatable boat, serious, calm lake and forest	water	day	adults	medium	GREEN		
a3-022	a3/2016	Shirtless man stands in the water, head and arms covered in soap lather, scrubbing	water	day	adults	medium	GREEN		
a3-023	a3/2016	Eight young men and men bend long branches into a dome frame in a grassy clearing	camp	day	mixed	wide	GREEN	verify faces	
a3-024	a3/2016	Row of teens on a fallen log; the centre one in a red bandana holds a cup and talks	forest	day	young-men	medium	AMBER		
a3-025	a3/2016	Two men selfie shouting or laughing: turquoise shirt; black cap; tree trunk behind	forest	day	adults	close	GREEN		
a3-026	a3/2016	Young men and men step over logs down a muddy fern trail, high angle down the trail	forest	day	mixed	medium	GREEN	verify faces (likely looking down)	
a3-027	a3/2016	~20 teens gathered in the forest; man in a black cap gestures instructions	forest	day	mixed	medium	AMBER		
a3-028	a3/2016	Profile close-up: blond teen with a yellow bandana headband and a blue paint streak, steady gaze	forest	day	young-men	close	AMBER	strong portrait	
a3-029	a3/2016	Teen with blue forehead markings cheers toward camera; others excited, a red cloth held up	forest	day	young-men	medium	AMBER		
a3-030	a3/2016	Teen in grey runs down a dirt path, orange bandana on his arm, low-angle tracking	forest	day	young-men	medium	AMBER	verify	
a3-031	a3/2016	Two young men run toward camera through ferns, camera moving back	forest	day	young-men	medium	AMBER		
a3-032	a3/2016	Teen looks straight into the lens, red marks on both cheeks, intense, golden light	forest	day	young-men	close	AMBER	strong portrait	
a3-033	a3/2016	Overhead into a forest hollow: young men standing, one in red pants gestures; back of a head foreground	forest	day	young-men	wide	GREEN	verify faces	
a3-034	a3/2016	Blond teen in a blue Nike tee smiles left, small blue cheek mark; another behind	forest	day	young-men	close	AMBER		
a3-035	a3/2016	Ten young men (12-16) stand in a circle among mossy cedars, wide	forest	day	young-men	wide	GREEN	faces small; circle: confirm not a ceremony	
a3-036	a3/2016	Two men at a big charcoal grill full of patties, smoke; white canopy and trailer behind	kitchen	day	adults	medium	GREEN		
a3-037	a3/2016	Four on a mossy log: man in khaki hat, young man in red pants pointing, teen with blue face paint, older man with mug	forest	day	mixed	medium	AMBER		
